idx,person,vowel_type,pitch_praat,f1_mean_praat,f2_mean_praat,f3_mean_praat,f4_mean_praat,f1_median_praat,f2_median_praat,f3_median_praat,f4_median_praat
58782,MMCC0,ay,120.51333436592274,568.7730398243563,1442.5187650100725,2483.5010454471985,3402.5305142812,541.3843232181617,1439.9317770103582,2508.586955073417,3416.9496360895155
58783,MMCC0,ae,120.51333436592274,568.7730398243563,1442.5187650100725,2483.5010454471985,3402.5305142812,541.3843232181617,1439.9317770103582,2508.586955073417,3416.9496360895155
58784,MMCC0,aw,120.51333436592274,568.7730398243563,1442.5187650100725,2483.5010454471985,3402.5305142812,541.3843232181617,1439.9317770103582,2508.586955073417,3416.9496360895155
58785,MMCC0,ax,120.51333436592274,568.7730398243563,1442.5187650100725,2483.5010454471985,3402.5305142812,541.3843232181617,1439.9317770103582,2508.586955073417,3416.9496360895155
58786,MMCC0,ay,120.51333436592274,568.7730398243563,1442.5187650100725,2483.5010454471985,3402.5305142812,541.3843232181617,1439.9317770103582,2508.586955073417,3416.9496360895155
58787,MMCC0,ux,120.51333436592274,568.7730398243563,1442.5187650100725,2483.5010454471985,3402.5305142812,541.3843232181617,1439.9317770103582,2508.586955073417,3416.9496360895155
58788,MMCC0,iy,121.66946617925738,522.1275226727734,1392.118899609706,2487.5950517169404,3427.227151118337,527.6539569363625,1371.738746950472,2528.884156589851,3448.9312366558815
58789,MMCC0,eh,121.66946617925738,522.1275226727734,1392.118899609706,2487.5950517169404,3427.227151118337,527.6539569363625,1371.738746950472,2528.884156589851,3448.9312366558815
58790,MMCC0,ey,121.66946617925738,522.1275226727734,1392.118899609706,2487.5950517169404,3427.227151118337,527.6539569363625,1371.738746950472,2528.884156589851,3448.9312366558815
58791,MMCC0,ah,121.66946617925738,522.1275226727734,1392.118899609706,2487.5950517169404,3427.227151118337,527.6539569363625,1371.738746950472,2528.884156589851,3448.9312366558815
58792,MMCC0,ix,121.66946617925738,522.1275226727734,1392.118899609706,2487.5950517169404,3427.227151118337,527.6539569363625,1371.738746950472,2528.884156589851,3448.9312366558815
58793,MMCC0,ay,121.66946617925738,522.1275226727734,1392.118899609706,2487.5950517169404,3427.227151118337,527.6539569363625,1371.738746950472,2528.884156589851,3448.9312366558815
58794,MMCC0,iy,121.66946617925738,522.1275226727734,1392.118899609706,2487.5950517169404,3427.227151118337,527.6539569363625,1371.738746950472,2528.884156589851,3448.9312366558815
58795,MMCC0,axr,121.66946617925738,522.1275226727734,1392.118899609706,2487.5950517169404,3427.227151118337,527.6539569363625,1371.738746950472,2528.884156589851,3448.9312366558815
58796,MMCC0,eh,121.66946617925738,522.1275226727734,1392.118899609706,2487.5950517169404,3427.227151118337,527.6539569363625,1371.738746950472,2528.884156589851,3448.9312366558815
58797,MMCC0,aa,121.66946617925738,522.1275226727734,1392.118899609706,2487.5950517169404,3427.227151118337,527.6539569363625,1371.738746950472,2528.884156589851,3448.9312366558815
58798,MMCC0,ux,121.66946617925738,522.1275226727734,1392.118899609706,2487.5950517169404,3427.227151118337,527.6539569363625,1371.738746950472,2528.884156589851,3448.9312366558815
58799,MMCC0,ey,121.66946617925738,522.1275226727734,1392.118899609706,2487.5950517169404,3427.227151118337,527.6539569363625,1371.738746950472,2528.884156589851,3448.9312366558815
58800,MMCC0,iy,121.66946617925738,522.1275226727734,1392.118899609706,2487.5950517169404,3427.227151118337,527.6539569363625,1371.738746950472,2528.884156589851,3448.9312366558815
58801,MMCC0,ao,124.75862346160947,568.0101247845996,1230.4564285627969,2409.0425828617635,3553.7971901598326,537.4655183825381,1216.9084838023173,2466.8760545532837,3504.829994766663
58802,MMCC0,aa,124.75862346160947,568.0101247845996,1230.4564285627969,2409.0425828617635,3553.7971901598326,537.4655183825381,1216.9084838023173,2466.8760545532837,3504.829994766663
58803,MMCC0,ax,124.75862346160947,568.0101247845996,1230.4564285627969,2409.0425828617635,3553.7971901598326,537.4655183825381,1216.9084838023173,2466.8760545532837,3504.829994766663
58804,MMCC0,ux,124.75862346160947,568.0101247845996,1230.4564285627969,2409.0425828617635,3553.7971901598326,537.4655183825381,1216.9084838023173,2466.8760545532837,3504.829994766663
58805,MMCC0,ae,124.75862346160947,568.0101247845996,1230.4564285627969,2409.0425828617635,3553.7971901598326,537.4655183825381,1216.9084838023173,2466.8760545532837,3504.829994766663
58806,MMCC0,ih,124.75862346160947,568.0101247845996,1230.4564285627969,2409.0425828617635,3553.7971901598326,537.4655183825381,1216.9084838023173,2466.8760545532837,3504.829994766663
58807,MMCC0,aa,124.75862346160947,568.0101247845996,1230.4564285627969,2409.0425828617635,3553.7971901598326,537.4655183825381,1216.9084838023173,2466.8760545532837,3504.829994766663
58808,MMCC0,ih,124.75862346160947,568.0101247845996,1230.4564285627969,2409.0425828617635,3553.7971901598326,537.4655183825381,1216.9084838023173,2466.8760545532837,3504.829994766663
58809,MMCC0,er,124.75862346160947,568.0101247845996,1230.4564285627969,2409.0425828617635,3553.7971901598326,537.4655183825381,1216.9084838023173,2466.8760545532837,3504.829994766663
58810,MMCC0,ix,124.75862346160947,568.0101247845996,1230.4564285627969,2409.0425828617635,3553.7971901598326,537.4655183825381,1216.9084838023173,2466.8760545532837,3504.829994766663
58811,MMCC0,er,124.75862346160947,568.0101247845996,1230.4564285627969,2409.0425828617635,3553.7971901598326,537.4655183825381,1216.9084838023173,2466.8760545532837,3504.829994766663
58812,MMCC0,oy,124.75862346160947,568.0101247845996,1230.4564285627969,2409.0425828617635,3553.7971901598326,537.4655183825381,1216.9084838023173,2466.8760545532837,3504.829994766663
58813,MMCC0,er,124.75862346160947,568.0101247845996,1230.4564285627969,2409.0425828617635,3553.7971901598326,537.4655183825381,1216.9084838023173,2466.8760545532837,3504.829994766663
58814,MMCC0,ix,124.75862346160947,568.0101247845996,1230.4564285627969,2409.0425828617635,3553.7971901598326,537.4655183825381,1216.9084838023173,2466.8760545532837,3504.829994766663
58815,MMCC0,eh,116.37541428118973,578.6989244916483,1282.2724629095026,2403.320172698193,3471.6730102545016,600.6836195722549,1252.3167920410624,2541.883102694001,3464.506369006722
58816,MMCC0,aa,116.37541428118973,578.6989244916483,1282.2724629095026,2403.320172698193,3471.6730102545016,600.6836195722549,1252.3167920410624,2541.883102694001,3464.506369006722
58817,MMCC0,ao,116.37541428118973,578.6989244916483,1282.2724629095026,2403.320172698193,3471.6730102545016,600.6836195722549,1252.3167920410624,2541.883102694001,3464.506369006722
58818,MMCC0,ay,116.37541428118973,578.6989244916483,1282.2724629095026,2403.320172698193,3471.6730102545016,600.6836195722549,1252.3167920410624,2541.883102694001,3464.506369006722
58819,MMCC0,ae,116.37541428118973,578.6989244916483,1282.2724629095026,2403.320172698193,3471.6730102545016,600.6836195722549,1252.3167920410624,2541.883102694001,3464.506369006722
58820,MMCC0,ax,116.37541428118973,578.6989244916483,1282.2724629095026,2403.320172698193,3471.6730102545016,600.6836195722549,1252.3167920410624,2541.883102694001,3464.506369006722
58821,MMCC0,ix,116.37541428118973,578.6989244916483,1282.2724629095026,2403.320172698193,3471.6730102545016,600.6836195722549,1252.3167920410624,2541.883102694001,3464.506369006722
58822,MMCC0,ah,116.37541428118973,578.6989244916483,1282.2724629095026,2403.320172698193,3471.6730102545016,600.6836195722549,1252.3167920410624,2541.883102694001,3464.506369006722
58823,MMCC0,ah,116.37541428118973,578.6989244916483,1282.2724629095026,2403.320172698193,3471.6730102545016,600.6836195722549,1252.3167920410624,2541.883102694001,3464.506369006722
58824,MMCC0,er,116.37541428118973,578.6989244916483,1282.2724629095026,2403.320172698193,3471.6730102545016,600.6836195722549,1252.3167920410624,2541.883102694001,3464.506369006722
58825,MMCC0,ux,116.37541428118973,578.6989244916483,1282.2724629095026,2403.320172698193,3471.6730102545016,600.6836195722549,1252.3167920410624,2541.883102694001,3464.506369006722
58826,MMCC0,ux,116.37541428118973,578.6989244916483,1282.2724629095026,2403.320172698193,3471.6730102545016,600.6836195722549,1252.3167920410624,2541.883102694001,3464.506369006722
58827,MMCC0,eh,116.37541428118973,578.6989244916483,1282.2724629095026,2403.320172698193,3471.6730102545016,600.6836195722549,1252.3167920410624,2541.883102694001,3464.506369006722
58828,MMCC0,ax,116.37541428118973,578.6989244916483,1282.2724629095026,2403.320172698193,3471.6730102545016,600.6836195722549,1252.3167920410624,2541.883102694001,3464.506369006722
58829,MMCC0,iy,116.37541428118973,578.6989244916483,1282.2724629095026,2403.320172698193,3471.6730102545016,600.6836195722549,1252.3167920410624,2541.883102694001,3464.506369006722
58830,MMCC0,aa,116.39535995123464,566.4265520234736,1273.031279778634,2329.0955081842903,3458.591912635632,574.0558728460729,1226.7464462580028,2425.3620010415284,3459.1168909162875
58831,MMCC0,axr,116.39535995123464,566.4265520234736,1273.031279778634,2329.0955081842903,3458.591912635632,574.0558728460729,1226.7464462580028,2425.3620010415284,3459.1168909162875
58832,MMCC0,ay,116.39535995123464,566.4265520234736,1273.031279778634,2329.0955081842903,3458.591912635632,574.0558728460729,1226.7464462580028,2425.3620010415284,3459.1168909162875
58833,MMCC0,ah,116.39535995123464,566.4265520234736,1273.031279778634,2329.0955081842903,3458.591912635632,574.0558728460729,1226.7464462580028,2425.3620010415284,3459.1168909162875
58834,MMCC0,ux,116.39535995123464,566.4265520234736,1273.031279778634,2329.0955081842903,3458.591912635632,574.0558728460729,1226.7464462580028,2425.3620010415284,3459.1168909162875
58835,MMCC0,iy,116.39535995123464,566.4265520234736,1273.031279778634,2329.0955081842903,3458.591912635632,574.0558728460729,1226.7464462580028,2425.3620010415284,3459.1168909162875
58836,MMCC0,ix,116.39535995123464,566.4265520234736,1273.031279778634,2329.0955081842903,3458.591912635632,574.0558728460729,1226.7464462580028,2425.3620010415284,3459.1168909162875
58837,MMDM1,iy,126.7124897157108,546.6590756892289,1560.1183901070358,2465.4019136210536,3421.4587457055322,545.0131383993211,1703.9900205935855,2539.8472690895223,3365.534275989334
58838,MMDM1,ae,126.7124897157108,546.6590756892289,1560.1183901070358,2465.4019136210536,3421.4587457055322,545.0131383993211,1703.9900205935855,2539.8472690895223,3365.534275989334
58839,MMDM1,axr,126.7124897157108,546.6590756892289,1560.1183901070358,2465.4019136210536,3421.4587457055322,545.0131383993211,1703.9900205935855,2539.8472690895223,3365.534275989334
58840,MMDM1,aa,126.7124897157108,546.6590756892289,1560.1183901070358,2465.4019136210536,3421.4587457055322,545.0131383993211,1703.9900205935855,2539.8472690895223,3365.534275989334
58841,MMDM1,ux,126.7124897157108,546.6590756892289,1560.1183901070358,2465.4019136210536,3421.4587457055322,545.0131383993211,1703.9900205935855,2539.8472690895223,3365.534275989334
58842,MMDM1,ix,126.7124897157108,546.6590756892289,1560.1183901070358,2465.4019136210536,3421.4587457055322,545.0131383993211,1703.9900205935855,2539.8472690895223,3365.534275989334
