idx,person,vowel_type,pitch_org_praat,f1_mean_org_praat,f2_mean_org_praat,f3_mean_org_praat,f1_median_org_praat,f2_median_org_praat,f3_median_org_praat
55078,FPMY0,ey,198.8482692333684,571.3848181818182,1833.0617272727272,2708.1752727272724,599.515,1868.016,2799.976
16994,FGWR0,ey,205.58689848818173,621.4051,1660.9333,2487.2581,641.5754999999999,1702.4279999999999,2496.0910000000003
13665,MCTT0,uh,113.71438585096794,565.7951666666667,961.5078333333335,2284.977833333334,586.679,972.0630000000001,2358.7889999999998
41345,MKXL0,uh,120.9463953639497,502.0796666666667,1656.4155,2689.4473333333335,426.23249999999996,1616.7925,2539.4440000000004
45253,FJWB1,uh,204.5421220619143,507.65333333333325,1406.2896666666668,2886.266,508.63599999999997,1453.607,2878.2135
21663,FKFB0,uh,210.0082895793614,511.69842857142856,1717.8940000000002,2767.088285714286,518.822,1715.141,2736.276
77336,MKRG0,ax-h,94.99780533803015,1245.6096666666665,2345.354,3453.766,1036.03,2367.74,3388.219
48920,MJMM0,ax-h,121.96099140002056,488.3185,1967.8145,2598.7889999999998,488.3185,1967.8145,2598.7889999999998
399,FJEM0,ax-h,191.57127890791114,1128.21,1983.275333333333,2924.3863333333334,1289.403,1893.856,2805.609
9268,FMCM0,ax-h,191.19219796147536,532.1433333333333,1803.2033333333331,3110.788666666667,116.906,1640.83,2897.417
