idx,person,vowel_type,pitch_org_praat,f1_mean_org_praat,f2_mean_org_praat,f3_mean_org_praat,f1_median_org_praat,f2_median_org_praat,f3_median_org_praat
67168,FKSR0,er,222.13836494558387,602.9976666666666,1742.9882222222225,2311.8236666666667,619.167,1768.862,2272.76
37005,FSJS0,er,198.93573591051063,537.76,1937.2626666666667,2271.0674999999997,537.23,1942.1345000000001,2256.116
44110,MWDK0,aa,129.22346083309645,651.9071,1267.9499,2005.6131999999998,656.3900000000001,1268.1844999999998,1821.366
16174,MJFC0,aa,106.46255228426898,594.204111111111,1285.0004444444446,2101.4961111111115,609.857,1216.605,1961.576
54753,FLOD0,aa,186.4120462075565,704.6174285714286,1356.5032857142858,2281.7594285714285,721.906,1328.656,2298.242
21758,FMEM0,aa,136.3227457322383,746.5406250000001,1280.6871250000002,2264.4801249999996,745.2035,1269.4435,2281.953
33325,MRJH0,uw,132.78269828661084,451.04089999999997,1271.7663,2268.0471000000002,449.532,1198.2265,2265.9314999999997
41779,MMEB0,uw,132.27182241782702,831.9106666666667,1728.1216666666662,2790.458166666667,810.898,1743.5414999999998,2805.2625
7908,FADG0,uw,236.37992037849853,581.1078888888891,1429.6014444444445,3036.7219999999998,589.654,1434.0,2986.566
63175,FSGF0,uw,217.4029305785766,550.0373636363637,1122.3841818181818,2391.0966363636367,554.749,1113.247,2367.977
