idx,person,vowel_type,pitch_org_praat,f1_mean_org_praat,f2_mean_org_praat,f3_mean_org_praat,f1_median_org_praat,f2_median_org_praat,f3_median_org_praat
27697,FPJF0,axr,203.11793759496416,513.9955,1866.387,2777.69875,520.2370000000001,1893.7,2766.542
55712,FSMM0,axr,254.80534044454757,518.8658181818182,1648.1554545454549,2087.5808181818184,517.16,1652.608,2116.524
34805,MWSB0,ow,113.7569138229444,524.3428571428573,1040.4937142857143,2632.011357142857,531.8435,997.03,2647.165
50630,MMDM0,ow,99.02725347633434,610.3750769230769,1458.8665384615383,2685.1124615384615,553.136,1367.261,2602.931
12097,FCAL1,ow,189.53101177599186,639.660888888889,1120.1964444444445,3042.3503333333333,652.003,1130.183,3037.099
15588,FMGD0,ow,167.36291041884132,619.3705454545453,1379.6097272727272,2780.2809090909095,628.385,1343.475,2719.415
64529,MKES0,ix,135.80832673173148,628.6682857142857,1736.9854285714287,2665.552285714286,486.043,1600.054,2500.476
49860,MLBC0,ix,114.52640555305764,504.996,1731.455625,2644.62275,511.2535,1759.3004999999998,2654.99
54284,FKKH0,ix,225.23823014067432,483.9904,1809.4024000000002,2894.2668,506.165,1840.007,2813.694
54214,FJXM0,ix,233.7651737654516,586.0997500000001,2022.43225,3060.44425,584.8575000000001,2045.3975,3058.5195
