idx,person,vowel_type,pitch_org_praat,f1_mean_org_praat,f2_mean_org_praat,f3_mean_org_praat,f1_median_org_praat,f2_median_org_praat,f3_median_org_praat
10973,MPCS0,eh,101.1158033622455,554.809357142857,1645.0630714285712,2764.7832142857146,534.401,1636.3415,2762.7135
50190,MLJH0,eh,113.79251783126269,602.6126666666665,1543.5778333333335,2369.4302500000003,603.4480000000001,1537.4254999999998,2431.193
37277,FSKC0,eh,176.69671963514187,614.0228571428572,1735.2368571428574,2573.309285714286,622.956,1746.744,2615.583
28142,FSKL0,eh,179.7947487719867,733.1747142857142,1499.8595714285714,2697.584428571429,743.077,1519.262,2735.742
65841,MTJU0,oy,109.8366809293154,637.5971874999999,1161.51675,2658.0501874999995,614.2895,1145.165,2682.2745
60478,MSEM1,oy,99.64327848236896,765.6817333333332,1359.138266666667,2562.957333333333,735.331,1275.043,2467.168
61841,FAPB0,oy,184.0690541185943,602.2209523809522,1415.5908095238096,2727.879904761905,618.419,1380.385,2749.943
76233,FKLH0,oy,209.90545833439913,628.1964,1468.2378666666668,2675.924266666667,662.653,1344.177,2718.843
3928,MRCZ0,ay,125.13071907571053,652.6074444444444,1427.3830555555553,2513.7832222222223,696.8045,1287.0445,2474.7
58035,MJFH0,ay,110.58216157903678,708.0285909090909,1369.443318181818,2515.077863636364,761.8435,1290.4859999999999,2514.2235
