idx,person,vowel_type,pitch_org_praat,f1_mean_org_praat,f2_mean_org_praat,f3_mean_org_praat,f1_median_org_praat,f2_median_org_praat,f3_median_org_praat
19550,FCMH1,ay,208.2608084311718,813.117818181818,1820.2683636363633,2900.1996363636367,854.101,1838.57,2967.329
55061,FPMY0,ay,188.09004981973308,835.4459999999999,1574.517,2473.3716249999998,841.9565,1533.3245,2460.367
29181,MDLB0,ax,129.97110669743535,490.1131666666667,1405.8931666666667,2702.3385000000003,488.536,1431.9645,2756.669
59253,MPMB0,ax,163.37218520383234,619.5036666666666,1331.8600000000001,2456.8285,603.083,1328.401,2421.293
61887,FBCH0,ax,211.85797882412206,538.6382000000001,1282.2322,3060.811,542.36,1291.548,3061.724
53652,FEAR0,ax,177.06582925040294,713.13625,1480.18,2871.2435,721.7909999999999,1476.0865,2819.185
73424,MREM0,ux,91.94139706123795,787.3774285714286,1729.883857142857,2685.1892857142857,607.91,1934.344,2445.988
59063,MMVP0,ux,111.88354345919987,488.96813157894746,1593.903184210526,2460.051973684211,415.356,1498.4365,2346.132
46182,FSSB0,ux,181.11704921187453,392.82500000000005,2045.218,2672.176,392.211,2007.088,2678.395
11848,FASW0,ux,151.5151301763209,421.037,1657.5739999999998,2991.453,419.309,1699.327,2999.988
