idx,person,vowel_type,pitch_org_praat,f1_mean_org_praat,f2_mean_org_praat,f3_mean_org_praat,f1_median_org_praat,f2_median_org_praat,f3_median_org_praat
23297,MJEB1,iy,135.26709062483687,356.9820909090909,2055.109,2681.593636363636,369.821,2070.214,2835.956
13257,MAHH0,iy,119.83693372228039,677.1844117647057,2372.9689411764703,3142.050647058824,321.748,2296.423,3062.906
9265,FMCM0,iy,191.19219796147536,433.2535,2403.884,2941.3035,432.6585,2432.6745,2944.8355
35760,FGCS0,iy,214.3374034975246,493.4452,2017.2596,2843.816,492.599,1844.759,2750.078
22811,MDAC0,ae,100.04591818516344,586.9133999999998,1693.6989999999998,2516.2051999999994,606.263,1683.806,2555.453
78361,MTCS0,ae,132.90384084640965,691.4895384615385,1648.957923076923,2321.5731538461537,719.28,1664.238,2291.985
9321,FMCM0,ae,205.9935840186055,723.043,1920.363625,2897.574375,729.918,1921.7575000000002,2892.363
21321,FECD0,ae,210.7894940459185,744.6884545454545,2336.4915454545453,2835.445,774.12,2440.818,2860.098
13374,MBPM0,er,119.80476203035352,513.8464285714285,1392.2197142857144,1810.7931428571428,514.039,1372.749,1779.606
14618,MLIH0,er,146.94220373962878,468.3911818181818,1421.9250909090908,2371.3446363636363,479.285,1476.406,2398.892
