idx,person,sex,phone,pitch_praat,f1_org_praat,f2_org_praat,f3_org_praat
0,MDKS0,M,iy,130.37652406174018,837.3235714285713,2339.071,2838.824571428571
1,MMEB0,M,iy,117.83228908476276,569.5384,2391.8523000000005,2947.3717
2,FAEM0,F,iy,180.423124990988,504.5364,1822.7052,2663.2516
3,FSAK0,F,iy,214.45662934469703,482.8818,2171.2605,2791.683
4,MKAG0,M,ae,104.244506190326,646.0931818181817,1474.068272727273,2589.9062727272726
5,MRMH0,M,ae,126.6147024557644,730.0708461538462,1348.502230769231,2322.656615384616
6,FSLS0,F,ae,205.99631228742336,806.8857647058823,1917.677,2560.825647058823
7,FVMH0,F,ae,196.77077826200744,790.5042352941177,1778.2681176470587,2614.885705882353
8,MRHL0,M,er,130.99412503701046,631.8494444444445,1248.0348888888886,1611.446222222222
9,MDEF0,M,er,104.82996730328324,721.9543636363636,1512.6707272727274,2167.7046363636364
10,FJMG0,F,er,223.9425032885459,610.5926666666667,1595.0815,1831.207
11,FSDJ0,F,er,203.7768734900956,598.5115000000001,1560.594125,2430.95775
12,MTJM0,M,aa,119.58606505461093,598.3171,1380.1253000000002,2371.978
13,MBGT0,M,aa,133.4817971107727,727.0992222222222,885.0036666666666,2226.942
14,FAKS0,F,aa,243.04466868245905,883.4926363636365,1161.8588181818182,2608.606545454545
15,FGDP0,F,aa,194.47730804986597,855.4635454545455,1416.7896363636362,2746.979181818182
16,MGAF0,M,uw,93.17091568899684,490.3202857142857,1688.1740000000002,3018.812857142857
17,MEFG0,M,uw,96.1308630614902,491.2088,1339.9791,2459.0671
18,FEAC0,F,uw,191.5344131437385,496.7261999999999,1253.0536,2471.6841
19,FLET0,F,uw,226.83684491357965,414.99728571428574,1441.2924285714284,2873.521857142857
20,MCDD0,M,ih,104.6899971389108,476.2096,1460.2597999999998,2678.0846
21,MADC0,M,ih,113.67332192481302,500.13175,1679.53525,2594.760583333333
22,FJWB1,F,ih,182.71888220501503,587.6634,2002.7076,2836.2554
23,FCYL0,F,ih,213.4920194788489,621.4381666666667,1652.8545,2523.905666666667
24,MGAG0,M,ao,109.663142199681,653.1939999999998,1308.1225000000002,2198.891583333333
25,MWJG0,M,ao,99.01915613376715,588.6111111111112,924.2709999999998,2541.457
26,FRNG0,F,ao,266.29587039722725,886.1072380952381,1190.549095238095,3240.337142857142
27,FJRP1,F,ao,182.1525101952469,495.00423076923073,992.1616153846156,2679.6518461538462
28,MREE0,M,axr,110.05191893776554,380.944,1715.8901666666668,2035.8556666666664
29,MPPC0,M,axr,119.74299148370623,522.3344444444444,1351.0155555555557,1813.735888888889
30,FJAS0,F,axr,183.88105280296145,454.5219166666666,1795.0049166666668,2229.5744166666664
31,FKFB0,F,axr,196.1639073342193,505.641,2112.1242857142856,2476.460571428572
32,MPGR0,M,ow,104.35492920447685,580.4852727272728,1332.774,2625.3932727272727
33,MDAS0,M,ow,113.34780634961152,573.1378888888889,1054.1333333333337,2716.0366666666664
34,FCRH0,F,ow,208.54381846538536,710.4509,1529.8755999999998,2839.4595
35,FJLG0,F,ow,220.33827905029855,692.3363125000001,1468.2584374999997,3052.0851250000005
36,MDLF0,M,ix,129.1352925788144,520.8745,1508.3617499999998,2592.7345
37,MSTF0,M,ix,135.48298555415178,512.6895,1780.273,2666.75175
38,FEAC0,F,ix,191.5344131437385,639.0174999999999,1767.963,2481.45425
39,FSJK1,F,ix,195.35598058822148,559.7938,1775.1742,2608.3104
40,MTAS0,M,eh,134.6645603417143,632.2738750000001,1612.2566249999998,2591.438375
41,MFGK0,M,eh,124.25146902727096,544.066,1785.591666666667,2519.059083333333
42,FGRW0,F,eh,201.50103894458496,634.9894999999999,2122.858071428572,2531.515642857143
43,FEAR0,F,eh,188.51155148596249,662.7708888888889,1756.0726666666665,2771.1658888888887
44,MJVW0,M,oy,129.99543907244666,602.97985,1144.33995,2574.6859000000004
45,MEJL0,M,oy,128.07909097964944,594.3077,1244.5821500000002,2336.9566500000005
46,FGMB0,F,oy,191.8978819150979,649.5811428571428,1150.7672380952383,2763.962857142857
47,FCMR0,F,oy,195.1297146726711,638.0985999999999,1365.0710666666666,2779.207533333333
48,MMWB0,M,ay,151.5142827993939,726.6784090909091,1473.6097272727277,2537.174590909091
49,MCEF0,M,ay,135.4154163227479,599.9195,1758.5187,2603.9523
50,FBMH0,F,ay,187.55822489552156,648.0388888888888,1863.937166666667,2713.887055555556
51,FRNG0,F,ay,231.1134055560555,926.3458095238096,1726.0457142857142,2953.7119523809524
52,MPFU0,M,ax,121.79840106572242,682.7196666666665,1161.4298333333334,2895.1470000000004
53,MTKD0,M,ax,120.84916136507448,593.5355999999999,1133.8966,2508.3148
54,FSMA0,F,ax,207.90893467062816,483.19125,1302.80975,2900.3885
55,FMKF0,F,ax,223.2358267992215,538.8406666666666,1480.178,2825.309
56,MTEB0,M,ux,101.31317733195252,502.0780952380952,2079.4304285714284,2671.634380952381
57,MRJO0,M,ux,159.61871638082835,406.315875,1612.57975,2225.9643750000005
58,FLJG0,F,ux,145.81601733299462,468.6195833333333,2114.5603333333333,2682.211583333333
59,FJRB0,F,ux,237.0831637735592,595.2027142857143,1331.3254285714286,2079.3875714285714
60,MSMR0,M,aw,167.43535718264638,707.4946060606061,1638.2427878787878,2516.345151515152
61,MDWD0,M,aw,140.11450906248635,775.4547857142855,1265.6605714285713,2667.832428571429
62,FLMC0,F,aw,190.25051756213168,751.1225454545455,1716.659909090909,2882.6834545454544
63,FLJG0,F,aw,175.5667096484127,786.2450000000001,1597.5286363636362,2726.1320454545453
64,MRPC0,M,ah,108.40298869368443,688.9736363636364,1342.9995454545451,2837.073636363637
65,MLJC0,M,ah,113.94410910688148,574.9423750000001,1456.8521249999997,2350.060125
66,FDMY0,F,ah,200.29694232799903,522.6835000000001,1724.47325,2862.4745000000003
67,FCMH1,F,ah,210.5075894380683,648.2853333333333,1615.1748333333337,2840.46025
68,MGAR0,M,ey,140.44441535254558,509.6751111111111,1772.8123333333333,2227.546555555556
69,MMGC0,M,ey,114.26107471073244,532.8792142857144,1784.13,2500.7809999999995
70,FLAS0,F,ey,168.16055382302335,629.6680833333331,1904.7394166666663,2673.928333333333
71,FSBK0,F,ey,229.5813293483983,692.2896875,2513.952,3103.42525
